Rk,Name,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
1,Jordan Clarkson,24,82,19,29.2,5.8,13.1,.445,1.4,4.3,.329,4.4,8.7,.503,.500,1.6,2.0,.798,0.6,2.4,3.0,2.6,1.1,0.1,2.0,1.8,14.7
2,Julius Randle,22,74,73,28.8,5.1,10.4,.488,0.2,0.9,.270,4.9,9.6,.507,.499,2.8,3.8,.723,2.0,6.6,8.6,3.6,0.7,0.5,2.3,3.4,13.2
3,Brandon Ingram,19,79,40,28.8,3.5,8.7,.402,0.7,2.4,.294,2.8,6.3,.443,.442,1.7,2.7,.621,0.8,3.2,4.0,2.1,0.6,0.5,1.5,2.0,9.4
4,D'Angelo Russell,20,63,60,28.7,5.6,13.8,.405,2.1,6.1,.352,3.4,7.7,.447,.483,2.3,3.0,.782,0.5,3.0,3.5,4.8,1.4,0.3,2.8,2.1,15.6
5,Luol Deng,31,56,49,26.5,2.9,7.6,.387,0.9,2.9,.309,2.0,4.6,.436,.447,0.8,1.1,.730,1.1,4.1,5.3,1.3,0.9,0.4,0.8,1.1,7.6
6,Nick Young,31,60,60,25.9,4.5,10.6,.430,2.8,7.0,.404,1.7,3.5,.481,.564,1.3,1.5,.856,0.4,1.9,2.3,1.0,0.6,0.2,0.6,2.3,13.2
7,Lou Williams,30,58,1,24.2,5.6,12.7,.444,2.1,5.5,.385,3.5,7.2,.489,.527,5.2,5.9,.884,0.2,2.0,2.3,3.2,1.1,0.2,2.1,1.2,18.6
8,Larry Nance,24,63,7,22.9,3.0,5.7,.526,0.2,0.6,.278,2.9,5.2,.554,.540,0.9,1.3,.738,1.9,4.0,5.9,1.5,1.3,0.6,0.9,2.4,7.1
9,Timofey Mozgov,30,54,52,20.4,3.1,6.1,.515,0.0,0.0,.000,3.1,6.1,.517,.515,1.2,1.4,.808,1.9,3.0,4.9,0.8,0.3,0.6,1.3,2.5,7.4
10,David Nwaba,24,20,2,19.9,2.4,4.1,.580,0.1,0.3,.200,2.3,3.8,.605,.586,1.3,2.0,.641,0.9,2.3,3.2,0.7,0.7,0.4,0.6,1.8,6.0
11,Tyler Ennis,22,22,2,17.8,3.0,6.5,.451,1.0,2.5,.389,2.0,4.1,.489,.524,0.9,1.0,.864,0.2,1.0,1.2,2.4,0.9,0.1,1.0,1.3,7.7
12,Tarik Black,25,67,16,16.3,2.2,4.4,.510,0.0,0.0,.500,2.2,4.4,.510,.512,1.2,1.6,.752,2.1,3.0,5.1,0.6,0.4,0.7,0.9,2.6,5.7
13,Ivica Zubac,19,38,11,16.0,3.3,6.3,.529,0.0,0.1,.000,3.3,6.2,.536,.529,0.8,1.3,.653,1.1,3.1,4.2,0.8,0.4,0.9,0.8,1.7,7.5
14,Corey Brewer,30,24,3,14.9,2.2,5.0,.438,0.2,1.0,.208,2.0,4.0,.495,.459,0.8,1.0,.750,0.5,1.7,2.2,1.5,1.0,0.3,0.8,1.2,5.4
15,Jose Calderon,35,24,11,12.2,1.3,3.2,.416,0.5,1.4,.353,0.8,1.8,.465,.494,0.2,0.2,1.000,0.3,1.4,1.8,2.1,0.3,0.0,1.1,0.9,3.3
16,Thomas Robinson,25,48,1,11.7,2.2,4.1,.536,0.0,0.0,.000,2.2,4.1,.538,.536,0.6,1.4,.470,1.8,2.9,4.6,0.6,0.5,0.2,1.0,1.6,5.0
17,Marcelo Huertas,33,23,1,10.3,1.1,3.0,.368,0.2,0.8,.211,0.9,2.1,.429,.397,0.4,0.7,.529,0.1,1.0,1.0,2.3,0.4,0.1,0.8,0.7,2.7
18,Metta World Peace,37,25,2,6.4,0.8,2.7,.279,0.4,1.5,.237,0.4,1.2,.333,.346,0.4,0.6,.625,0.2,0.6,0.8,0.4,0.4,0.1,0.3,0.7,2.3
