Rk,Name,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
1,Kevin Durant,27,72,72,35.8,9.7,19.2,.505,2.6,6.7,.387,7.1,12.5,.569,.573,6.2,6.9,.898,0.6,7.6,8.2,5.0,1.0,1.2,3.5,1.9,28.2
2,Russell Westbrook,27,80,80,34.4,8.2,18.1,.454,1.3,4.3,.296,6.9,13.8,.503,.489,5.8,7.2,.812,1.8,6.0,7.8,10.4,2.0,0.3,4.3,2.5,23.5
3,Serge Ibaka,26,78,78,32.1,5.3,11.1,.479,0.8,2.4,.326,4.6,8.8,.520,.513,1.2,1.6,.752,1.8,5.0,6.8,0.8,0.5,1.9,1.4,2.7,12.6
4,Dion Waiters,24,78,15,27.6,3.6,9.1,.399,1.1,3.1,.358,2.5,6.0,.421,.460,1.4,2.0,.713,0.5,2.1,2.6,2.0,1.0,0.2,1.5,1.8,9.8
5,Steven Adams,22,80,80,25.2,3.3,5.3,.613,0.0,0.0,0.0,3.3,5.3,.613,.613,1.4,2.5,.582,2.7,3.9,6.7,0.8,0.5,1.1,1.1,2.8,8.0
6,Andre Roberson,24,70,70,22.2,1.9,3.9,.496,0.5,1.5,.311,1.5,2.4,.608,.555,0.5,0.8,.611,1.1,2.5,3.6,0.7,0.8,0.6,0.5,1.9,4.8
7,Randy Foye,32,27,1,21.2,1.9,5.5,.349,0.9,3.0,.309,1.0,2.5,.397,.433,0.8,1.0,.815,0.3,1.6,1.9,1.8,0.5,0.5,1.0,1.8,5.6
8,Enes Kanter,23,82,1,21.0,5.0,8.8,.576,0.1,0.3,.476,4.9,8.5,.579,.583,2.4,3.1,.797,3.0,5.1,8.1,0.4,0.3,0.4,1.4,2.0,12.7
9,D.J. Augustin,28,34,0,15.3,1.4,3.6,.380,0.7,1.8,.393,0.6,1.8,.367,.479,0.8,1.0,.765,0.1,1.1,1.3,1.9,0.4,0.1,0.9,1.2,4.2
10,Kyle Singler,27,68,2,14.4,1.3,3.3,.389,0.4,1.4,.309,0.8,1.8,.452,.457,0.4,0.6,.659,0.7,1.3,2.1,0.4,0.4,0.1,0.5,1.8,3.4
11,Anthony Morrow,30,68,6,13.6,2.0,4.9,.408,1.2,3.0,.387,0.8,1.9,.442,.527,0.4,0.6,.744,0.1,0.8,0.9,0.4,0.3,0.1,0.3,0.9,5.6
12,Cameron Payne,21,57,1,12.2,2.0,4.9,.410,0.6,1.9,.324,1.4,2.9,.467,.475,0.3,0.4,.792,0.2,1.3,1.5,1.9,0.6,0.1,0.8,1.4,5.0
13,Nick Collison,35,59,4,11.8,0.8,1.8,.459,0.0,0.0,.000,0.8,1.8,.467,.459,0.4,0.6,.697,1.2,1.7,2.9,0.9,0.3,0.3,0.8,1.8,2.1
14,Josh Huestis,24,5,0,11.0,1.0,2.4,.417,0.8,1.2,.667,0.2,1.2,.167,.583,0.0,0.8,.000,0.4,1.6,2.0,0.0,0.2,0.4,0.6,0.6,2.8
15,Nazr Mohammed,38,5,0,3.8,0.6,1.0,.600,0.0,0.0,0.0,0.6,1.0,.600,.600,0.4,0.4,1.000,0.2,0.6,0.8,0.0,0.0,0.0,0.6,0.8,1.6
16,Mitch McGary,23,20,0,3.6,0.6,1.2,.478,0.0,0.2,.000,0.6,1.0,.579,.478,0.2,0.5,.400,0.2,0.7,0.9,0.2,0.1,0.1,0.4,0.5,1.3
17,Steve Novak,32,7,0,3.4,0.9,1.7,.500,0.7,1.3,.556,0.1,0.4,.333,.708,0.0,0.0,0.0,0.0,0.6,0.6,0.0,0.0,0.0,0.1,0.1,2.4
